所属省份,区划名称,Province,City Name,Area/km2,Population (2010),Population density (people/km2),GDP/ 1E8 RMB,GDP year,GDP per capita/1E4 RMB,Railway1,Railway2,Longitude,Latitude
上海,上海,Shang Hai ,Shang Hai ,"6,340.50",2302,3630.5,20101,2012,8.73,特,1,121.4692688,31.23817635
北京,北京,Bei Jing ,Bei Jing ,"16,800.00",1961,1167.4,17801,2012,9.08,特,1,116.3809433,39.9236145
广东,广州,Guang Dong ,Guang Zhou ,"7,434.40",1270,1708.38,13551,2012,10.67,特,1,113.2614288,23.11891174
广东,深圳,Guang Dong ,Shen Zhen ,"1,952.84",1036,5304.04,12950,2012,12.5,特,1,114.110672,22.55639648
天津,天津,Tian Jin ,Tian Jin ,"11,920.00",1294,1085.42,12885,2012,9.96,特,1,117.2034988,39.13111877
江苏,苏州,Jiang Su ,Su Zhou ,"8,488.00",1047,1233.03,12012,2012,11.48,,,120.6187286,31.31645203
重庆,重庆,Chong Qing ,Chong Qing ,"82,400.00",2885,350.07,11459,2012,3.97,特,1,106.5103378,29.55817604
四川,成都,Si Chuan ,Cheng Du,"12,390.00",1258,1015.25,8138,2012,6.47,特,1,104.0817566,30.66105652
湖北,武汉,Hu Bei ,Wu Han ,"8,494.41",891,1048.93,8003,2012,8.98,特,1,114.2919388,30.56751442
浙江,杭州,Zhe Jiang ,Hang Zhou ,"16,840.75",786,466.84,7804,2012,9.93,,1,120.1592484,30.26599503
江苏,无锡,Jiang Su ,Wu Xi ,"4,788.00",637,1330.96,7568,2012,11.88,特,,120.2991333,31.57723045
山东,青岛,Shan Dong ,Qing Dao ,"11,175.30",839,750.47,7302,2012,8.71,特,,120.3581696,36.13386154
江苏,南京,Jiang Su ,Nan Jing ,"6,597.00",800,1213.38,7202,2012,9,特,1,118.7727814,32.04761505
辽宁,大连,Liao Ning ,Da Lian ,"13,538.39",608,449.09,7000,2012,11.51,,1,121.6008377,38.91780472
广东,佛山,Guang Dong ,Fo Shan ,"3,848.49",719,1869.39,6709,2012,9.33,,,113.1145172,23.03487778
辽宁,沈阳,Liao Ning ,Shen Yang ,"12,880.88",762,591.57,6700,2012,8.79,特,1,123.4116821,41.7966156
浙江,宁波,Zhe Jiang ,Ning Bo ,"9,695.51",690,711.15,6525,2012,9.46,,,121.5412827,29.87066841
湖南,长沙,Hu Nan,Chang Sha ,"11,819.46",653,552.39,6399,2012,9.8,特,1,112.9812698,28.20082474
河北,唐山,He Bei ,Tang Shan ,"13,472",739,548.48,5862,2012,7.93,,,118.2017288,39.62533951
河南,郑州,He Nan,Zheng Zhou ,"7,532.56",736,976.56,5547,2012,7.54,特,1,113.6500473,34.7570343
山东,烟台,Shan Dong ,Yan Tai ,"13,746.47",699,508.82,5281,2012,7.55,,,121.3799362,37.53561401
广东,东莞,Guang Dong ,Dong Guan ,"2,465.00",822,3334.78,5010,2012,6.09,,,113.7487717,23.0485363
山东,济南,Shan Dong ,Ji Nan,"8,000.80",657,821.36,4812,2012,7.32,特,1,117.0056,36.6670723
福建,泉州,Fu Jian ,Quan Zhou ,"11,245.00",813,722.86,4710,2012,5.79,,,118.5896378,24.91591835
黑龙江,哈尔滨,Hei Long Jiang ,Ha Er Bin ,"53,067.95",1064,200.42,4587,2012,4.31,特,1,126.6433411,45.74149323
江苏,南通,Jiang Su ,Nan Tong ,"8,544.00",728,852.39,4559,2012,6.26,,,120.8555679,32.01506805
吉林,长春,Ji Lin ,Chang Chun ,"20,571.06",746,362.62,4507,2012,6.04,特,1,125.3154297,43.89256287
河北,石家庄,He Bei ,Shi Jia Zhuang ,"15,848",978,617.16,4500,2012,4.6,特,1,114.4897766,38.04512787
陕西,西安,Shan Xi ,Xi An ,"10,108.02",847,837.49,4369,2012,5.16,特,1,108.949028,34.26168442
福建,福州,Fu Jian ,Fu Zhou ,"12,155.46",712,585.36,4218,2012,5.93,,1,119.2978134,26.07859039
安徽,合肥,An Hui ,He Fei ,"7,029.48",491,698.49,4164,2012,8.48,,1,117.2757034,31.86325455
黑龙江,大庆,Hei Long Jiang ,Da Qing ,"21,218.73",290,136.89,4152,2012,14.29,,,125.0248566,46.59545136
江苏,徐州,Jiang Su ,Xu Zhou ,"11,258.00",858,762.17,4017,2012,4.68,特,1,117.1856079,34.26752853
山东,潍坊,Shan Dong ,Wei Fang ,"16,004.89",884,552.09,4012,2012,4.54,,,119.1068497,36.7040863
江苏,常州,Jiang Su ,Chang Zhou ,"4,385.00",459,1047.2,3970,2012,8.65,特,,119.9502869,31.78393364
内蒙,鄂尔多斯,Nei Meng ,E Er Duo Si ,"86,752.00",155,17.84,3661,2012,23.65,,,109.8,39.62
浙江,温州,Zhe Jiang ,Wen Zhou ,"12,255.77",790,644.68,3650,2012,4.62,,,120.6502914,28.01647568
浙江,绍兴,Zhe Jiang ,Shao Xing ,"8,255.73",458,554.89,3620,2012,7.9,,,120.5739288,30.01093102
山东,淄博,Shan Dong ,Zi Bo ,"5,965.17",448,751.68,3557,2012,7.93,,,118.0560532,36.7935791
内蒙,包头,Nei Meng ,Bao Tou ,"27,768.00",251,90.25,3410,2012,13.61,,1,109.8517075,40.6664238
山东,济宁,Shan Dong ,Ji Ning ,"11,194.27",792,707.2,3189,2012,4.03,,,116.576561,35.40924072
江苏,盐城,Jiang Su ,Yan Cheng ,"16,972.00",726,427.78,3120,2012,4.3,,,120.1351776,33.38982773
河北,邯郸,He Bei ,Han Dan ,"12,062",876,726.14,3024,2012,3.45,,,114.4729538,36.60151672
山东,临沂,Shan Dong ,Lin Yi ,"17,201.67",980,569.68,3013,2012,3.07,,,118.3379593,35.06945038
云南,昆明,Yun Nan,Kun Ming ,"21,001.28",619,294.9,3011,2012,4.86,特,1,102.704567,25.04384422
河南,洛阳,He Nan,Luo Yang ,"15,229.83",634,416.39,3001,2012,4.73,,,112.4247971,34.66804123
山东,东营,Shan Dong ,Dong Ying ,"7,923.26",199,251.27,3001,2012,15.07,,,118.4959564,37.46191406
江西,南昌,Jiang Xi ,Nan Chang ,"7,432.18",458,616.32,3001,2012,6.55,,1,115.8999176,28.67599106
江苏,扬州,Jiang Su ,Yang Zhou ,"6,634.00",446,672.26,2933,2012,6.58,,,119.4368362,32.39188766
浙江,台州,Zhe Jiang ,Tai Zhou ,"10,083.39",573,568.66,2927,2012,5.1,,,121.43,28.68
浙江,嘉兴,Zhe Jiang ,Jia Xing ,"3,964.79",419,1055.79,2885,2012,6.89,,,120.7536316,30.77111435
福建,厦门,Fu Jian ,Xia Men ,"1,651.98",353,2137.65,2822,2012,7.99,,1,118.0875168,24.45743561
河北,沧州,He Bei ,Cang Zhou ,"13,419",693,516.34,2812,2012,4.06,,,116.8607712,38.30884171
陕西,榆林,Shan Xi ,Yu Lin ,"43,070.03",335,77.81,2769,2012,8.26,,,109.7574463,38.29727554
河北,保定,He Bei ,Bao Ding ,"22,159",1085,489.85,2721,2012,2.51,,,115.5001831,38.85707092
江苏,泰州,Jiang Su ,Tai Zhou ,"5,797.00",462,796.72,2702,2012,5.85,,,119.91124,32.495872
浙江,金华,Zhe Jiang ,Jin Hua ,"10,941.22",510,466.13,2700,2012,5.29,,,119.6522064,29.11081696
吉林,吉林,Ji Lin ,Ji Lin ,"27,659.79",433,156.42,2690,2012,6.22,,,126.5668182,43.88667679
辽宁,鞍山,Liao Ning ,An Shan ,"9,252.35",350,378.55,2687,2012,7.67,,,122.9843826,41.11525726
江苏,镇江,Jiang Su ,Zhen Jiang ,"3,847.00",311,809.3,2630,2012,8.45,,,119.4442978,32.20589828
山东,泰安,Shan Dong ,Tai An ,"7,761.83",543,700.02,2547,2012,4.69,,,117.1241074,36.1871109
广西,南宁,Guang Xi ,Nan Ning ,"22,111.98",682,308.65,2530,2012,3.71,特,1,108.3117676,22.80654335
内蒙,呼和浩特,Nei Meng ,Hu He Hao Te ,"17,271.00",264,152.58,2526,2012,9.59,,1,111.6632996,40.82094193
湖北,宜昌,Hu Bei ,Yi Chang ,"21,227.00",403,189.85,2509,2012,6.23,,,111.2852707,30.70395279
湖北,襄阳,Hu Bei ,Xiang Yang ,"19,724.41",543,275.04,2502,2012,4.61,特,,112.1411133,32.04539871
广东,中山,Guang Dong ,Zhong Shan ,"1,800.14",312,1733.69,2447,2012,7.84,,,113.3714523,22.52685356
广东,惠州,Guang Dong ,Hui Zhou ,"11,158.00",460,411.99,2368,2012,5.15,,,114.3924026,23.08795738
河南,南阳,He Nan,Nan Yang ,"26,508.69",995,375.51,2367,2012,2.38,,,112.5375137,32.99901962
山东,威海,Shan Dong ,Wei Hai ,"5,697.98",280,491.33,2338,2012,8.35,,,122.1116867,37.50076294
山西,太原,Shan Xi ,Tai Yuan ,"6,959.96",346,496.71,2311,2012,6.68,特,1,112.5693512,37.87111282
山东,德州,Shan Dong ,De Zhou ,"10,356.32",545,526.52,2231,2012,4.09,,,116.2878723,37.45369339
湖南,岳阳,Hu Nan,Yue Yang ,"14,897.87",516,346.22,2200,2012,4.27,,,113.0980682,29.37461853
山东,聊城,Shan Dong ,Liao Cheng ,"8,714.57",554,635.33,2146,2012,3.88,,,115.9884262,36.44943237
湖南,常德,Hu Nan,Chang De ,"18,189.82",544,298.96,2039,2012,3.75,,,111.6876297,29.03820992
新疆,乌鲁木齐,Xin Jiang ,Wu Lu Mu Qi ,"15,173.13",231,152.44,2000,2012,8.65,,1,87.60611725,43.79093933
福建,漳州,Fu Jian ,Zhang Zhou ,"12,873.66",481,373.63,2000,2012,4.16,,,117.6530914,24.51816368
山东,滨州,Shan Dong ,Bin Zhou ,"9,032.60",367,406.44,1988,2012,5.42,,,118.0217667,37.36781311
湖南,衡阳,Hu Nan,Heng Yang ,"15,302.78",672,439.27,1958,2012,2.91,,,112.5993576,26.90055466
广东,茂名,Guang Dong ,Mao Ming ,"11,458.00",582,507.75,1951,2012,3.35,,,110.8888474,21.67071724
江苏,淮安,Jiang Su ,Huai An ,"10,072.00",480,476.56,1921,2012,4,,,119.14111,33.502789
广东,江门,Guang Dong ,Jiang Men ,"9,540.60",445,466.31,1910,2012,4.29,,,113.0847473,22.59119034
安徽,芜湖,An Hui ,Wu Hu ,"3,362.55",226,672.11,1874,2012,8.29,,,118.3598328,31.33449554
广东,湛江,Guang Dong ,Zhan Jiang ,"12,470.50",699,560.79,1870,2012,2.67,,1,110.3992233,21.19499779
宁夏,银川,Ning Xia ,Yin Chuan ,9025.38,225,249.36,1803,2017,8.01,,1,106.2719421,38.46800995
河北,廊坊,He Bei ,Lang Fang ,"6,429",406,631.86,1794,2012,4.42,,,116.6898575,39.51511002
山东,菏泽,Shan Dong ,He Ze ,"12,193.85",817,669.64,1787,2012,2.19,,,115.4457626,35.24853897
广西,柳州,Guang Xi ,Liu Zhou ,"18,667.44",366,195.96,1780,2012,4.87,特,1,109.4028091,24.31040573
湖南,株洲,Hu Nan,Zhu Zhou ,"11,262.20",370,328.18,1759,2012,4.76,特,1,113.1520615,27.85422325
山东,枣庄,Shan Dong ,Zao Zhuang ,"4,563.22",364,797.77,1749,2012,4.8,,,117.556282,34.87264633
